ID,Types,Categories
1,彩妝,底妝產品
2,彩妝,眼妝產品
3,彩妝,唇妝產品
4,保養,清潔
5,保養,卸妝
6,保養,保養品
7,工具,臉部工具
8,工具,眼部工具
9,工具,唇部工具
10,香氛,香氛產品
